title,year,genre1,genre2,genre3,country,language,director,reviews_from_users,reviews_from_critics
Kill Bill: Vol. 1,2003,14,2,16,4,1,Quentin Tarantino,2207.0,380.0
Konets operatsii Rezident,1986,14,5,,8,6,Venyamin Dorman,,
Kong woo gou gap,2000,12,2,,8,7,Dante Lam,2.0,5.0
Krasnaya strela,1987,3,4,,8,6,"Iskander Khamrayev, Igor Sheshukov",,
Laila Majnu,1976,3,19,7,8,7,Harnam Singh Rawail,1.0,
Little Soldiers,1996,13,19,12,8,7,Gunnam Gangaraju,2.0,1.0
Love Is the Drug,2006,3,,,4,1,Elliott Lester,8.0,4.0
Marci X,2003,12,20,,1,1,Richard Benjamin,69.0,14.0
Mehboob Ki Mehndi,1971,3,19,7,8,7,Harnam Singh Rawail,2.0,
Mere Mehboob,1963,12,3,7,8,7,Harnam Singh Rawail,2.0,1.0
Mile Zero,2001,3,,,8,1,Andrew Currie,6.0,5.0
Ne valyay duraka,1997,5,12,2,3,6,Valeri Chikov,1.0,
Osobennosti natsionalnoy okhoty v zimniy period,2001,12,,,3,6,Aleksandr Rogozhkin,1.0,
The Painting,2001,3,7,,4,1,"Peter Manoogian, Joshua D. Rose",11.0,6.0
Petites misères,2002,3,12,,7,5,"Philippe Boon, Laurent Brandenbourger",1.0,2.0
Cheongchun,2000,3,,,8,7,Ji-kyoon Kwak,2.0,2.0
Kurosufaia,2000,2,3,10,6,4,Shûsuke Kaneko,10.0,8.0
Raat,1992,10,,,8,7,Ram Gopal Varma,14.0,4.0
Rush Hour 2,2001,14,12,2,8,1,Brett Ratner,397.0,133.0
Samundar,1986,14,2,3,8,7,Rahul Rawail,3.0,
The Slaughter Rule,2002,3,17,,4,1,"Alex Smith, Andrew J. Smith",30.0,17.0
Spy Game,2001,14,2,16,1,1,Tony Scott,378.0,93.0
Thru the Moebius Strip,2005,18,5,15,8,7,Glenn Chaika,7.0,3.0
Barnie et ses petites contrariétés,2001,12,3,,7,5,Bruno Chiche,3.0,2.0
Wild Zero,1999,12,10,20,6,4,Tetsuro Takeuchi,68.0,63.0
Yamakasi - Les samouraïs des temps modernes,2001,14,3,2,7,5,"Ariel Zeitoun, Julien Seri",49.0,5.0
Yodha,1991,14,3,,8,7,Rahul Rawail,1.0,
Branca de Neve,2000,3,,,8,7,João César Monteiro,9.0,3.0
Aatish: Feel the Fire,1994,14,2,3,8,7,Sanjay Gupta,11.0,
Abandon,2002,3,9,7,4,1,Stephen Gaghan,163.0,73.0
Ajay,1996,14,3,7,8,7,Suneel Darshan,2.0,
Senso '45,2002,3,7,16,5,2,Tinto Brass,13.0,18.0
Ashi Hi Banwa Banwi,1988,12,,,8,7,Sachin,4.0,
Avalon,2001,14,3,6,6,7,Mamoru Oshii,147.0,70.0
Dakota Bound,2001,5,15,14,8,1,Lloyd A. Simandl,4.0,
Canim Kardesim,1973,3,,,8,7,Ertem Egilmez,8.0,
Chandni Bar,2001,2,3,,8,7,Madhur Bhandarkar,12.0,2.0
Close Call,2004,14,2,3,4,1,Jimmy Lee,10.0,6.0
Facing the Enemy,2001,14,9,16,4,1,Robert Malenfant,3.0,1.0
Dhanwaan,1993,12,3,7,8,7,K. Viswanath,2.0,
Die Einsamkeit der Krokodile,2000,12,3,,1,3,Jobst Oetzmann,4.0,10.0
Do You Wanna Know a Secret?,2001,10,9,16,4,1,Ty Bradford,33.0,7.0
Durango Kids,1999,13,6,11,4,1,Ashton Root,11.0,1.0
Felicidades,2000,12,3,,8,7,Lucho Bender,6.0,3.0
Haseena Maan Jaayegi,1999,14,12,7,8,7,David Dhawan,8.0,3.0
The Irrefutable Truth About Demons,2000,10,16,6,8,1,Glenn Standring,17.0,19.0
L'italiano,2002,3,,,5,2,Ennio De Dominicis,,
Jigar,1992,14,2,3,8,7,Farogh Siddique,6.0,1.0
Jukgeona hokeun nabbeugeona,2000,2,3,,8,7,Seung-wan Ryoo,1.0,8.0
K-19: The Widowmaker,2002,3,4,16,2,1,Kathryn Bigelow,281.0,125.0
Karmina 2,2001,10,12,7,8,5,Gabriel Pelletier,1.0,
Last Run,2001,14,2,16,2,1,Anthony Hickox,14.0,1.0
Lunch with Charles,2001,5,12,3,8,1,Michael Parker,6.0,2.0
Maidan-E-Jung,1995,14,3,,8,7,K.C. Bokadia,3.0,
Mayalodu,1993,12,3,,8,7,"S.V. Krishna Reddy, Ranga Rao Kurra",,
Momcheto si otiva,1972,3,,,8,7,Lyudmil Kirkov,1.0,
No One Can Hear You,2001,10,16,,4,1,John Laing,10.0,4.0
The One,2001,14,15,16,4,1,James Wong,300.0,103.0
Papi Gudia,1996,10,16,,8,7,Lawrence D'Souza,4.0,6.0
Party 7,2000,12,,,6,4,Katsuhito Ishii,15.0,15.0
Rajendrudru Gajendrudru,1993,12,3,,8,7,"S.V. Krishna Reddy, Ranga Rao Kurra",,
The Ringer,2005,12,17,,4,1,Barry W. Blaustein,164.0,88.0
Sangram,1993,3,7,,8,7,Lawrence D'Souza,1.0,
Scooby-Doo,2002,5,12,13,4,1,Raja Gosnell,535.0,138.0
She,2001,14,5,6,8,1,Timothy Bond,3.0,
Silsila Hai Pyar Ka,1999,12,3,7,8,7,Shrabani Deodhar,2.0,1.0
The Text of Light,1974,9,,,4,7,Stan Brakhage,3.0,4.0
True Blue,2001,2,3,16,4,1,J.S. Cardone,20.0,7.0
Verboden te zuchten,2001,3,,,8,7,Alex Stockman,2.0,1.0
Weiser,2001,3,9,,8,7,Wojciech Marczewski,1.0,1.0
Wooly Boys,2001,12,,,4,1,Leszek Burzynski,13.0,1.0
Yamaleela,1994,12,3,6,8,7,"S.V. Krishna Reddy, Ranga Rao Kurra",,
Adaptation.,2002,12,3,,4,1,Spike Jonze,735.0,250.0
Ajanabee,1974,3,7,,8,7,Shakti Samanta,4.0,1.0
Al's Lads,2002,3,2,,2,1,Richard Standeven,7.0,
Ananda Ashram,1977,3,13,,8,7,Shakti Samanta,2.0,
Anurodh,1977,3,13,,8,7,Shakti Samanta,6.0,
Brigham City,2001,2,3,9,4,1,Richard Dutcher,66.0,12.0
Carrément à l'Ouest,2001,12,3,,7,5,Jacques Doillon,2.0,5.0
Charas,1976,14,16,,8,7,Ramanand Sagar,1.0,1.0
Comment j'ai tué mon père,2001,3,16,,8,5,Anne Fontaine,16.0,28.0
China Town,1962,12,2,7,8,7,Shakti Samanta,3.0,2.0
Close Enough to Touch,2002,3,,,4,1,Jamie Scabbert,5.0,1.0
Determination of Death,2002,2,3,,4,1,Michael Miller,8.0,
No somos nadie,2002,3,,,8,7,Jordi Mollà,8.0,5.0
Cudesna suma,1986,18,5,13,8,7,"Milan Blazekovic, Doro Vlado Hreljanovic",11.0,1.0
Eva & Adam - Fyra födelsedagar och ett fiasko,2001,13,7,,8,7,Catti Edfeldt,5.0,2.0
The Fall of the Louse of Usher: A Gothic Tale for the 21st Century,2002,12,6,10,2,1,Ken Russell,17.0,12.0
Familjehemligheter,2001,3,,,8,7,Kjell-Åke Andersson,3.0,
Festival,2001,3,,,8,7,Karl Johan Larsson,3.0,3.0
Om inte,2001,3,,,8,7,Ella Lemhagen,,1.0
Hans och hennes,2001,3,,,8,7,Daniel Lind Lagerlöf,3.0,1.0
Hildegarde,2001,13,5,,8,1,Di Drew,9.0,
Hem ljuva hem,2001,3,,,8,7,Dan Ying,3.0,3.0
Hundtricket - The Movie,2002,12,3,7,8,7,"Christian Eklöw, Christopher Panov",6.0,3.0
Ice Age,2002,18,5,12,4,1,"Chris Wedge, Carlos Saldanha",476.0,195.0
Jimmy Neutron: Boy Genius,2001,18,14,5,4,1,John A. Davis,127.0,63.0
Kahin Pyaar Na Ho Jaaye,2000,12,7,,8,7,K. Muralimohana Rao,9.0,1.0
Little Senegal,2000,3,,,8,1,Rachid Bouchareb,4.0,6.0
The Man Who Sued God,2001,12,3,7,8,1,Mark Joffe,41.0,10.0
Mehbooba,1976,3,7,,8,7,Shakti Samanta,4.0,1.0
Naughty Boy,1962,12,,,8,7,Shakti Samanta,,
